Banco;Código;ISPB;Nome Completo
BANCO BTG PACTUAL S.A.;208;30306294;Banco BTG Pactual S.A.
BANCO ORIGINAL;212;92894922;Banco Original S.A.
BCO ARBI S.A.;213;54403563;Banco Arbi S.A.
BANCO JOHN DEERE S.A.;217;91884981;Banco John Deere S.A.
BCO BS2 S.A.;218;71027866;Banco BS2 S.A.
BCO CRÉDIT AGRICOLE BR S.A.;222;75647891;BANCO CRÉDIT AGRICOLE BRASIL S.A.
BCO FIBRA S.A.;224;58616418;Banco Fibra S.A.
BANCO CIFRA;233;62421979;Banco Cifra S.A.
BCO BRADESCO S.A.;237;60746948;Banco Bradesco S.A.
BCO CLASSICO S.A.;241;31597552;BANCO CLASSICO S.A.
BANCO MASTER;243;33923798;BANCO MASTER S/A
BCO ABC BRASIL S.A.;246;28195667;Banco ABC Brasil S.A.
BANCO INVESTCRED UNIBANCO S.A.;249;61182408;Banco Investcred Unibanco S.A.
BCV - BCO, CRÉDITO E VAREJO S.A.;250;50585090;BCV - BANCO DE CRÉDITO E VAREJO S.A.
BEXS CC S.A.;253;52937216;Bexs Corretora de Câmbio S/A
PARANA BCO S.A.;254;14388334;PARANÁ BANCO S.A.
MONEYCORP BCO DE CÂMBIO S.A.;259;8609934;MONEYCORP BANCO DE CÂMBIO S.A.
NU PAGAMENTOS - IP;260;18236120;NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
BCO FATOR S.A.;265;33644196;Banco Fator S.A.
BCO CEDULA S.A.;266;33132044;BANCO CEDULA S.A.
BARI CIA HIPOTECÁRIA;268;14511781;BARI COMPANHIA HIPOTECÁRIA
BCO HSBC S.A.;269;53518684;BANCO HSBC S.A.
SAGITUR CC LTDA;270;61444949;Sagitur Corretora de Câmbio Ltda.
IB CCTVM S.A.;271;27842177;IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
AGK CC S.A.;272;250699;AGK CORRETORA DE CAMBIO S.A.
CCR DE SÃO MIGUEL DO OESTE;273;8253539;Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel
MONEY PLUS SCMEPP LTDA;274;11581339;MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORT
BCO SENFF S.A.;276;11970623;BANCO SENFF S.A.
GENIAL INVESTIMENTOS CVM S.A.;278;27652684;Genial Investimentos Corretora de Valores Mobiliários S.A.
CCR DE PRIMAVERA DO LESTE;279;26563270;COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE
WILL FINANCEIRA S.A.CFI;280;23862762;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO
CCR COOPAVEL;281;76461557;Cooperativa de Crédito Rural Coopavel
RB INVESTIMENTOS DTVM LTDA.;283;89960090;RB INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LIMITADA
FRENTE CC LTDA.;285;71677850;Frente Corretora de Câmbio Ltda.
CCR DE OURO;286;7853842;COOPERATIVA DE CRÉDITO RURAL DE OURO SULCREDI/OURO
CAROL DTVM LTDA.;288;62237649;CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
DECYSEO CC LTDA.;289;94968518;DECYSEO CORRETORA DE CAMBIO LTDA.
PAGSEGURO S.A.;290;8561701;Pagseguro Internet S.A.
BS2 DTVM S.A.;292;28650236;BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
LASTRO RDV DTVM LTDA;293;71590442;Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.
VISION S.A. CC;296;4062902;VISION S.A. CORRETORA DE CAMBIO
VIPS CC LTDA.;298;17772370;Vip's Corretora de Câmbio Ltda.
BCO SOROCRED S.A. - BM;299;4814563;BANCO SOROCRED S.A. - BANCO MÚLTIPLO
BCO LA NACION ARGENTINA;300;33042151;Banco de la Nacion Argentina
BPP IP S.A.;301;13370835;BPP Instituição de Pagamento S.A.
PORTOPAR DTVM LTDA;306;40303299;PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
TERRA INVESTIMENTOS DTVM;307;3751794;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
CAMBIONET CC LTDA;309;14190547;CAMBIONET CORRETORA DE CÂMBIO LTDA.
VORTX DTVM LTDA.;310;22610500;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
DOURADA CORRETORA;311;76641497;DOURADA CORRETORA DE CÂMBIO LTDA.
HSCM SCMEPP LTDA.;312;7693858;HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LT
AMAZÔNIA CC LTDA.;313;16927221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.
PI DTVM S.A.;315;3502968;PI Distribuidora de Títulos e Valores Mobiliários S.A.
BCO BMG S.A.;318;61186680;Banco BMG S.A.
OM DTVM LTDA;319;11495073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
BCO CCB BRASIL S.A.;320;7450604;China Construction Bank (Brasil) Banco Múltiplo S/A
CREFAZ SCMEPP LTDA;321;18188384;CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT
CCR DE ABELARDO LUZ;322;1073966;Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz
MERCADO PAGO;323;10573521;MERCADOPAGO.COM REPRESENTACOES LTDA.
CARTOS SCD S.A.;324;21332862;CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
ÓRAMA DTVM S.A.;325;13293225;Órama Distribuidora de Títulos e Valores Mobiliários S.A.
PARATI - CFI S.A.;326;3311443;PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.
CECM FABRIC CALÇADOS SAPIRANGA;328;5841967;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FABRICANTES DE CALÇADOS DE SAPIRANGA
QI SCD S.A.;329;32402502;QI Sociedade de Crédito Direto S.A.
BANCO BARI S.A.;330;556603;BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
FRAM CAPITAL DTVM S.A.;331;13673855;Fram Capital Distribuidora de Títulos e Valores Mobiliários S.A.
ACESSO SOLUCOES PAGAMENTO SA;332;13140088;Acesso Soluções de Pagamento S.A.
BANCO DIGIO;335;27098060;Banco Digio S.A.
BCO C6 S.A.;336;31872495;Banco C6 S.A.
SUPER PAGAMENTOS E ADMINISTRACAO DE MEIOS ELETRONICOS S.A.;340;9554480;Super Pagamentos e Administração de Meios Eletrônicos S.A.
ITAÚ UNIBANCO S.A.;341;60701190;ITAÚ UNIBANCO S.A.
CREDITAS SCD;342;32997490;Creditas Sociedade de Crédito Direto S.A.
